community	fun
1,5,7	0.20675
1,5,7,8	0.29605
1,5,8	0.12985
1,6	0.00505
1,6,7	0.293175
1,6,7,8	0.29155
1,6,8	0.1323
1,7	0.31225
1,7,8	0.2951
1,8	0.16975
2	0.2912875
2,3	0.18645
2,3,4	0.17425
2,3,4,5	0.12785
2,3,4,5,6	0.15625
2,3,4,5,6,7	0.17915
2,3,4,5,6,7,8	0.21725
2,3,4,5,6,8	0.14065
2,3,4,5,7	0.29215
2,3,4,5,7,8	0.22435
2,3,4,5,8	0.16345
2,3,4,6	0.10595
2,3,4,6,7	0.24495
2,3,4,6,7,8	0.2479
2,3,4,6,8	0.17465
2,3,4,7	0.26525
2,3,4,7,8	0.26475
2,3,4,8	0.2085
2,3,5,6	0.12745
2,3,5,6,7	0.2255
2,3,5,6,7,8	0.23835
2,3,5,7	0.22955
2,3,5,7,8	0.248516666666667
2,3,5,8	0.14515
2,3,6	0.14955
2,3,6,7	0.2782
2,3,6,7,8	0.26415
2,3,6,8	0.17725
2,3,7	0.254625
2,3,7,8	0.273716666666667
2,3,8	0.18575
2,4	0.27415
2,4,5	0.23105
2,4,5,6	0.15975
2,4,5,6,7	0.25325
2,4,5,6,7,8	0.2437
2,4,5,7	0.3284
2,4,5,7,8	0.29905
2,4,5,8	0.22725
2,4,6	0.1706
2,4,6,7	0.28525
2,4,6,7,8	0.26975
2,4,6,8	0.18995
2,4,7	0.4034
2,4,7,8	0.389216666666667
2,4,8	0.30075
2,5	0.24135
2,5,6,7	0.25685
2,5,6,7,8	0.2457
2,5,6,8	0.14275
2,5,7	0.33555
2,5,7,8	0.38995
2,5,8	0.24095
2,6,7	0.27825
2,6,7,8	0.30035
2,6,8	0.17715
2,7	0.40315
2,7,8	0.25375
2,8	0.31495
3	0.00373888888888889
3,4	0.13905
3,4,5,6	0.13755
3,4,5,6,7	0.21915
3,4,5,7	0.22605
3,4,5,7,8	0.25155
3,4,5,8	0.14875
3,4,6	0.12055
3,4,6,7	0.31125
3,4,6,7,8	0.26415
3,4,7	0.2633
3,4,7,8	0.27375
3,4,8	0.16535
3,5	0.12865
3,5,6	0.13085
3,5,6,7	0.23215
3,5,6,7,8	0.236783333333333
3,5,6,8	0.12025
3,5,7	0.20507
3,5,7,8	0.25543
3,5,8	0.13205
3,6	0.0609833333333333
3,6,7	0.2883
3,6,8	0.1519
3,7	0.302133333333333
3,7,8	0.2778
3,8	0.09925
4	0.2718125
4,5	0.25495
4,5,6	0.14625
4,5,6,7	0.2761
4,5,6,7,8	0.20935
4,5,6,8	0.14385
4,5,7	0.36095
4,5,7,8	0.36615
4,5,8	0.2322
4,6	0.11365
4,6,7	0.2985
4,6,7,8	0.29435
4,6,8	0.1551
4,7	0.419
4,7,8	0.34785
4,8	0.32735
5	0.227661111111111
5,6	0.13085
5,6,7	0.23945
5,6,7,8	0.29815
5,6,8	0.13645
5,7	0.38785
5,7,8	0.33265
5,8	0.217916666666667
6	0.0021125
6,7	0.31455
6,7,8	0.30555
6,8	0.14575
7	0.46461
7,8	0.403175
8	0.131905555555556
