sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,function.rep1,function.rep2,function.rep3
0,0,1,1,1,1,1,0,20.629,29.5542,36.90486
0,1,0,0,0,0,0,0,53.87116,52.38503,49.052815
0,1,0,0,0,0,0,1,49.82956,50.92416,53.03758
0,1,0,0,0,0,1,0,46.83204,61.5081,67.89046
0,1,0,0,0,0,1,1,48.98756,53.07968,42.7315
0,1,0,0,0,1,0,1,29.20056,38.44572,29.83206
0,1,0,0,0,1,1,0,28.81324,41.62848,46.8573
0,1,0,0,0,1,1,1,55.60568,47.25304,50.57894
0,1,0,0,1,0,0,0,35.75132,46.32684,40.64334
0,1,0,0,1,0,0,1,37.14904,49.15596,40.57598
0,1,0,0,1,0,1,0,42.95884,52.22084,56.50662
0,1,0,0,1,0,1,1,46.66364,59.89988,65.66758
0,1,0,0,1,1,0,1,16.38532,31.25504,24.0391
0,1,0,1,0,0,0,1,47.26146,54.57844,50.6463
0,1,0,1,0,0,1,1,55.68146,63.5092533333333,65.5440866666667
0,1,0,1,0,1,0,1,24.68744,39.93606,31.98758
0,1,0,1,0,1,1,1,31.12032,41.75478,45.4259
0,1,0,1,1,0,0,1,28.628,48.88652,38.2689
0,1,0,1,1,0,1,0,44.52496,58.94842,55.30256
0,1,0,1,1,0,1,1,37.90684,56.17824,50.36002
0,1,1,0,0,0,0,0,31.05296,33.9326,31.39818
0,1,1,0,0,0,1,0,30.15202,38.51308,42.87885
0,1,1,0,0,0,1,1,30.30358,44.2835866666667,46.0938866666667
0,1,1,0,0,1,0,0,29.23424,31.4346666666667,25.18422
0,1,1,0,0,1,0,1,29.79838,36.0151466666667,29.8489
0,1,1,0,0,1,1,0,29.48684,44.33972,46.84888
0,1,1,0,0,1,1,1,27.34816,44.23868,44.48286
0,1,1,0,1,0,0,1,26.99452,28.98164,24.44326
0,1,1,0,1,0,1,0,24.08962,36.77856,38.65622
0,1,1,0,1,0,1,1,26.00096,36.64384,41.8502066666667
0,1,1,0,1,1,0,0,15.08864,25.81572,21.46258
0,1,1,0,1,1,1,0,25.14212,35.52398,37.9742
0,1,1,1,0,0,0,1,26.55668,35.96182,35.1114
0,1,1,1,0,0,1,0,29.26792,42.67256,44.6681
0,1,1,1,0,0,1,1,33.85682,42.27682,44.5839
0,1,1,1,0,1,0,0,16.72212,19.51756,17.84198
0,1,1,1,1,0,0,0,20.93212,29.6384,21.52994
0,1,1,1,1,0,0,1,21.25208,30.10992,27.52498
0,1,1,1,1,0,1,0,34.31992,42.63888,49.19806
