as.nat,fa.nat,la.nat,po.nat,as.inv,fa.inv,la.inv,po.inv,function
0,0,0,0,1,1,1,0,6.704
0,0,0,0,1,1,1,0,7.29
0,0,0,0,1,1,1,0,9.2256
0,0,0,0,1,1,1,0,13.6429
0,0,0,0,0,0,0,1,1.9026
0,0,0,0,0,0,0,1,2.3484
0,0,0,0,0,0,0,1,2.356
0,0,0,0,0,0,0,1,2.9279
0,0,0,0,0,0,0,1,3.013
0,0,0,0,0,0,0,1,3.1047
0,0,0,0,0,0,0,1,3.1272
0,0,0,0,0,0,0,1,3.1994
0,0,0,0,0,0,0,1,3.5237
0,0,0,0,0,0,0,1,3.9313
0,0,0,0,1,0,0,1,1.8615
0,0,0,0,1,0,0,1,2.2911
0,0,0,0,1,0,0,1,2.557
0,0,0,0,1,0,0,1,2.582
0,0,0,0,1,0,0,1,2.7821
0,0,0,0,1,0,0,1,2.9054
0,0,0,0,1,0,0,1,3.028
0,0,0,0,1,0,0,1,3.3464
0,0,0,0,1,0,0,1,3.8269
0,0,0,0,1,0,0,1,4.2767
0,0,0,0,0,1,0,1,6.7594
0,0,0,0,0,1,0,1,7.1464
0,0,0,0,0,1,0,1,7.3493
0,0,0,0,0,1,0,1,7.966
0,0,0,0,0,1,0,1,8.2733
0,0,0,0,0,1,0,1,9.68
0,0,0,0,0,1,0,1,9.794
0,0,0,0,0,1,0,1,10.1075
0,0,0,0,0,1,0,1,10.4434
0,0,0,0,0,1,0,1,11.4385
0,0,0,0,0,0,1,1,2.5696
0,0,0,0,0,0,1,1,2.6402
0,0,0,0,0,0,1,1,2.6499
0,0,0,0,0,0,1,1,2.7847
0,0,0,0,0,0,1,1,2.8468
0,0,0,0,0,0,1,1,2.9561
0,0,0,0,0,0,1,1,3.0603
0,0,0,0,0,0,1,1,3.4681
0,0,0,0,0,0,1,1,3.6891
0,0,0,0,0,0,1,1,4.7906
0,0,0,0,1,0,1,1,1.9828
0,0,0,0,1,0,1,1,2.4513
0,0,0,0,1,0,1,1,2.7039
0,0,0,0,1,0,1,1,2.8306
