mean_coeff	sd_coeff	sd_scale	rs	R2_stitching	R2.identity_stitching	relError.mean_topbot10_stitching	relError.sd_topbot10_stitching	R2_topbot10_stitching	R2.identity_topbot10_stitching	R2_reg1	R2.identity_reg1	relError.mean_topbot10_reg1	relError.sd_topbot10_reg1	R2_topbot10_reg1	R2.identity_topbot10_reg1	R2_reg2	R2.identity_reg2	relError.mean_topbot10_reg2	relError.sd_topbot10_reg2	R2_topbot10_reg2	R2.identity_topbot10_reg2
1	0.9	0.671307657286512	0.328578561880374	0.988503794973721	0.987774599704479	0.0508765823809282	0.0433593295160492	0.997212498845646	0.996334781961115	0.956994560470671	0.953998468989764	0.157773104707038	0.0932301798964332	0.982015426270427	0.961113361644489	0.998845584796032	0.998709270026074	0.0254765802191667	0.0188298658795898	0.999342052778133	0.999039122459503
-1	0.1	1.12663492682876	1.25439073110563	0.649228733213949	0.596088708495344	0.493344882162746	0.336524594529707	0.953959414863353	0.935267286483976	0.554343957918174	0.497474495942935	0.581280213033197	0.0894208836747544	0.91488590774442	0.460222031695361	0.990886639845895	0.990504652642884	0.0732635682753821	0.0399108053795512	0.99479994165809	0.991150236098434
-0.5	0.1	1.12663492682876	1.39952827367406	0.59144304838194	0.510381356690592	0.381145787201152	0.329105053245065	0.948926479892751	0.92927369197711	0.505607833119515	0.457146560598984	0.574021184185752	0.175834922751884	0.838149143444976	0.451041077401592	0.991416054354225	0.991014165719944	0.0509548178396192	0.0337442587027393	0.99545778739367	0.992520409681767
0	0.1	1.12663492682876	1.49371450149652	0.872005001320638	0.793726073521683	0.378313760179788	0.11177857854874	0.974049789045244	0.847024171266055	0.510658620699228	0.49991415203668	0.556465231096584	0.246102197468958	0.824306754091794	0.634860145292093	0.989208305639229	0.98908229216622	0.0495619265263741	0.0383188891426928	0.996969185440808	0.996728098172845
0.5	0.1	1.12663492682876	1.13283781799401	0.754436833798104	0.729159476546289	0.383412878811313	0.344188676935936	0.955565268799841	0.94092590875721	0.606146636062728	0.555637793052956	0.510826735871112	0.1635000523749	0.891728412137841	0.524910522601996	0.990719410098094	0.990424275626315	0.0605753913974502	0.0368906618531073	0.994857723973233	0.991448306166558
1	0.1	1.12663492682876	1.30709319674655	0.612359648337522	0.546628886018725	0.482382779152409	0.314198074079495	0.951389237592216	0.931204743794418	0.53186345225562	0.475229224649963	0.58383823607912	0.104902414955924	0.903370186456973	0.443103074163402	0.990508170293108	0.990046403117743	0.0710962008724519	0.0379764955345145	0.994390658401857	0.990661209843227
-1	0.3	1.12663492682876	1.37693365403211	0.619312100116986	0.563609036461743	0.37868835771762	0.320892188417492	0.951762798344412	0.924960005579816	0.503088522885791	0.455822722474036	0.602363891562963	0.181316348071934	0.847634780693051	0.445153313457123	0.989371162660447	0.988924970735893	0.0552424943586819	0.0384309656369566	0.99425736267002	0.990968844428017
-0.5	0.3	1.12663492682876	1.39491445282785	0.686821402953946	0.652784720048911	0.319245460435237	0.185571952010836	0.956099497218176	0.900902666904585	0.54230634896223	0.507938742263931	0.570785778319932	0.205198786613712	0.839170350955662	0.56006788092719	0.991797565430382	0.991608174969226	0.0445386917874501	0.0341914638364467	0.995888068565365	0.994355481558722
0	0.3	1.12663492682876	1.46298382982568	0.823991047297949	0.78923991766608	0.356304209956854	0.158238503696429	0.932859588162313	0.845950618930702	0.492978797867487	0.481146397756094	0.563250979186217	0.181515008520908	0.865718930963415	0.628933816702651	0.991542267354816	0.991383994641943	0.0509820577106484	0.0409631362873637	0.997037422594119	0.996453467893018
0.5	0.3	1.12663492682876	1.1994605474043	0.727117308738978	0.70079627595963	0.271551632552908	0.206281639195104	0.962398392830569	0.926675920745442	0.609939767210831	0.575750789622096	0.479587931796143	0.205497073481198	0.879394114652466	0.625880892131645	0.992531924408341	0.992377123454795	0.0489736332273046	0.0372089339577124	0.99565905362718	0.99445259468925
1	0.3	1.12663492682876	1.13330856359411	0.73665580712821	0.709798752939237	0.285742210901729	0.268893656901639	0.965242248971066	0.9553290676238	0.616855897489756	0.578732911371298	0.485691829080088	0.173648062907438	0.865510459157402	0.579304330249882	0.993025306610896	0.992830606514168	0.0499176250330601	0.0315516891831311	0.996156628366186	0.994188374986352
-1	0.5	1.12663492682876	1.46723616435537	0.615048447710778	0.571962342990916	0.438101952617766	0.293658724657919	0.938245628074127	0.875759721921972	0.480559083633703	0.440510419929698	0.656629349413403	0.225636757461274	0.816227072010943	0.452000530618379	0.990508348834806	0.990162627121419	0.0493274585505985	0.0321429711575198	0.995220854333343	0.992879934628164
-0.5	0.5	1.12663492682876	1.87647825690408	0.581230602244993	0.535501539206352	0.444503900283601	0.217008284136737	0.932954968815823	0.812794311310637	0.407877319996189	0.371504183188387	0.657964042380529	0.199116009704361	0.764092066739057	0.413230708770167	0.986252502427118	0.985903148771974	0.0609729012203693	0.0376091975285181	0.994097575885087	0.99210210740064
0	0.5	1.12663492682876	2.54829738597114	0.820938641316129	0.736776002198321	0.462753055760377	0.152436695179701	0.946932136630033	0.77904065400818	0.354721725482896	0.338427273838776	0.754847089667047	0.171355153037128	0.806890244282582	0.420125317392187	0.985448063291714	0.985110769367756	0.0635194570961345	0.0477285039954118	0.995867281682731	0.994389599170498
0.5	0.5	1.12663492682876	1.10875414179337	0.793260375432215	0.776236323049443	0.243249808666468	0.149482766209836	0.964862969012524	0.93205480105401	0.682824071640734	0.662068928837982	0.429854116520342	0.189862314694962	0.88154407517357	0.697494742647401	0.988614774146585	0.988469047909287	0.049513237513075	0.0473182366873553	0.9950197270605	0.993541869487454
1	0.5	1.12663492682876	1.47182502727623	0.63625511939767	0.593915732788376	0.346534243327037	0.203431198751751	0.953788699373281	0.889280221483847	0.505315621369566	0.466323135558154	0.64596104211966	0.198735487977642	0.833742363956512	0.489971223333109	0.99023937535021	0.989955308532759	0.055561248410967	0.0375527453285261	0.994296895997551	0.992339861104741
-1	0.7	1.12663492682876	2.2702254180695	0.464108590557365	0.378603533814337	0.521972087545664	0.229689054484411	0.838498697260228	0.73375132846441	0.305441305638664	0.265969411089841	0.827560317476889	0.205123807519285	0.644597098899513	0.281680965856612	0.992102545511613	0.991702026278664	0.0426622509542822	0.0291308393852938	0.996444115814443	0.994981607076266
-0.5	0.7	1.12663492682876	1.36370330723972	0.794613502170551	0.761060721576093	0.31295857576938	0.215735577436603	0.932076104617095	0.870070822090393	0.585065893328985	0.569219136644836	0.50819622084661	0.224459133150083	0.85257464041925	0.651183445962119	0.987634365375599	0.987475415366697	0.055135683843056	0.0433967774794483	0.995604141558687	0.994543288291683
0	0.7	1.12663492682876	1.17267986002933	0.894136279989445	0.853012089573818	0.284017455419298	0.136905222671832	0.971654037357339	0.905980813763763	0.655566299838554	0.637483864020181	0.466855547541627	0.228502445337223	0.87022592011467	0.739077036509559	0.991766617338766	0.991660323380987	0.0406755178396914	0.027725836012219	0.99829830955804	0.997865723006559
0.5	0.7	1.12663492682876	0.860666724363306	0.888526734013171	0.873710627606592	0.196466656666274	0.138870886212102	0.971915498967227	0.944164596916966	0.755799997964143	0.743345611164057	0.362461390389907	0.194053186600438	0.916057755366449	0.825047095319614	0.991703335416542	0.991650997683767	0.0451760604766997	0.0402116207434037	0.996791056397932	0.995978796955388
1	0.7	1.12663492682876	1.3809438771319	0.679193128768682	0.649237998931344	0.399686418240461	0.238761262693907	0.948993953957355	0.865794844901209	0.554485639766066	0.519605126638156	0.574722237924862	0.209989201269366	0.85085194626876	0.578852504850407	0.992465590494935	0.992300714974488	0.0458402539805807	0.0359389169007815	0.996531173401986	0.995168646516413
-1	0.9	1.12663492682876	1.28183645516759	0.760936505904404	0.734463084154206	0.325563219964046	0.218679569781273	0.95898463291253	0.903345466493846	0.586255611384945	0.558786243585952	0.523279662986688	0.208450314663244	0.836996742803197	0.588692393399663	0.990132996725449	0.989897493623186	0.0490784750397709	0.0350828298373697	0.995173438522727	0.993615580729384
-0.5	0.9	1.12663492682876	1.09611557905699	0.8837143593819	0.852192919778096	0.301975673331828	0.183454284817918	0.960912816837772	0.900124046837873	0.697130982862558	0.681877388575426	0.418810926403612	0.198206050263904	0.910464444986565	0.784196523859533	0.992778120007345	0.992687841482077	0.0511590997860628	0.0314201478119554	0.997195349120313	0.996409269065693
0	0.9	1.12663492682876	0.699650192393793	0.939942341142491	0.931840032674232	0.168157998529622	0.117088723743852	0.976461366316173	0.960879300276347	0.836973939167615	0.829510051907418	0.259303066700696	0.166484875140547	0.949134135878408	0.9072064453135	0.993681673376156	0.99360663377246	0.0376553484080234	0.0298520728512888	0.998211499569934	0.99807405719206
0.5	0.9	1.12663492682876	1.3315396519894	0.762687978832985	0.740273149496912	0.323511728862553	0.166781910169494	0.925840987863739	0.85881368281779	0.621087706871946	0.591271848628254	0.523237544273709	0.205508855361865	0.851762314441274	0.654792036695728	0.988560413517566	0.988403302662954	0.0600059975639834	0.0421967585774866	0.995962290413322	0.994739696116925
1	0.9	1.12663492682876	2.180169123561	0.534131171005549	0.490080246273486	0.587038095006903	0.266363496911106	0.854652162324914	0.65866742657811	0.283062201257211	0.25508304326912	0.833154345992294	0.243821742996701	0.597410944504381	0.302328181495398	0.986004086534276	0.985657502512231	0.0516948360934739	0.0406914879424772	0.994800115439264	0.99268992547615
